name,cost,description,image,code,rating,availability
NIVEA acondicionador de cuerpo bajo la ducha piel seca bote 400 ml, 4.99,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTAxMDh8aW1hZ2UvcG5nfGhiNS9oZGEvODgxODI3MzQ4NDgzMC5wbmd8Yjc2NWVjY2MxNmM4MTkzYjkyMjM0MDE1ZWU2MjQ3OTdkNmY0ZDcxYWQ0MTc5NTk4NDE2MzJkZDZhMTc0NzQ5Yw.png,1,null,1
GILLETTE SENSOR 3 maquinilla desechable piel sensible 3 hojas blister 4 uds, 7.17,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTgzMTR8aW1hZ2UvcG5nfGg2My9oNzAvODgzNDAxOTU1NzQwNi5wbmd8YTU4YzQ1YjZjM2NkMjg2Mjk2NWRkNTJlZjExMTFkZWM3YzY5NmYwYjg3NWM1MGNmNTFkY2I4YjJiMWJiMzNhZA.png,2,null,1
COLGATE cepillo dental extracleam blister 4 unidades, 2.25,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTMyOTV8aW1hZ2UvcG5nfGg2Zi9oNDYvODgzMzMxOTE0MTQwNi5wbmd8OGZlMGViNDAxYzYzODFmMzNhMTY0MDM4ZDZkNTZlNDI3NTFjNjZmOWRjNTBlMTU5MDZjNmMzNTZiZjQ4ZWQxZA.png,3,null,1
NIVEA desodorante invisible clear spray 200 ml, 3.35,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8NjM3NnxpbWFnZS9wbmd8aGM3L2g4ZC84ODM0NDc1OTUwMTEwLnBuZ3wxZGEzZTBjODkyMmY4NzBjNWIwYjdmMzE5Mzg4MGRjYzY5YjY0NjkzMWQ5Y2YxMGQwYmE1NDQ3NGRjOTUwNjc3.png,4,null,1
NIVEA crema de manos aceite de oliva tubo 100ml, 2.04,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8ODM5MnxpbWFnZS9wbmd8aGViL2hlZC84ODM1NjQ4MTkyNTQyLnBuZ3w0NDE2NzIzYmMwZjU1N2RiZTI2MjQ4ZTAzMTJiNzYxM2QzOGQxNmZmMGYzOGZhZDJhYzI2ZjRlM2IzN2FhNWU4.png,5,null,1
GILLETE FUSION PROGLIDE recambio de maquinilla power 5 hojas estuche 3 uds, 14.85,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8Mjc1MzB8aW1hZ2UvcG5nfGhiMy9oZDgvODgzNTYyOTg0MjQ2Mi5wbmd8MmYxODYxY2ZiMTg5ZWFjYzZiMzVmOGE4MDU4ODg1MThkZDMzNWQ3NmVlM2NlZmU5ODRmNTJiMTJiOGZmOTMzOA.png,6,null,1
GILLETE FUSION PROGLIDE recambio de maquinilla manual 5 hojas estuche 3 uds, 13.3,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MjYyODF8aW1hZ2UvcG5nfGhkNS9oYjEvODgzNDc3NjAzOTQ1NC5wbmd8MGE2YTAyNDNkM2E2MGIxMzk5MzY4NTdiZTkwMjM2MmYzMTFlZGYxNDZmN2MwNzM4ZGE2OTJlNGJkYzdhODU1MA.png,7,null,1
COLGATE MAX FRESH pasta dentrifica azul tubo 75ml, 1.79,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTAzODB8aW1hZ2UvcG5nfGgyNS9oMDIvODg0NjgxNzM5NDcxOC5wbmd8MmFlZjViZDc0Njc5ZDA1MmNkZjAyYmFlODg0MjRjNmRjZWUxM2JkMDNlMDdmZjQxZGVhNmZjMzg1MGZlNzEyYw.png,8,null,1
SANEX desodorante roll on men active control envase 50 ml, 2.04,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTE5OTB8aW1hZ2UvcG5nfGgxZC9oZTgvODgzMzM5MjYwNzI2Mi5wbmd8MzMyZGE5OTE2YWY3YzhjOGM2MWQxN2VlMzYzMmQwMjhkMjIxZTEzOGY4NzY5OGVkMDY2ODdiZWVjYzI2MDBkNQ.png,9,null,1
NIVEA crema facial de noche Q10 plus antiarrugas tarro 50 ml, 9.99,,http://res.cloudinary.com/dc8yintyr/image/upload/bWFzdGVyfHJvb3R8MTkxOTZ8aW1hZ2UvcG5nfGg5Zi9oNDcvODgzNTYzOTI3OTY0Ni5wbmd8ZWUyZmI1YTI2MTRlNTMwZDIyOWU1ZmZlZTY0NDJiZGMyOThlNDA5MWQ0Mjc5Y2RjNWU4MWZkOWI2ODQ4N2M0NQ.png,10,null,1
